time_s,node,event
6.401,3,assoc
14.141,12,assoc
14.141,4,assoc
28.781,16,assoc
28.781,9,assoc
29.202,3,send
29.226264,3,recv
33.48502,3,send
33.516264,3,recv
35.535,4,send
35.556264000000006,4,recv
38.029,3,send
38.046264,3,recv
40.381,4,send
40.386264000000004,4,recv
43.121,2,assoc
43.50602,3,send
43.536264,3,recv
44.501,4,send
44.646264,4,recv
45.24,12,send
45.246264000000004,12,recv
46.854,16,send
46.866264,16,recv
47.771,9,send
47.796264,9,recv
48.281,3,send
48.306264000000006,3,recv
49.074,4,send
49.086264,4,recv
50.679,12,send
50.706264000000004,12,recv
51.007,16,send
51.036264,16,recv
53.352,9,send
53.376264000000006,9,recv
53.453,3,send
53.466264,3,recv
53.918,4,send
53.946264,4,recv
55.841,10,assoc
55.841,11,assoc
55.841,13,assoc
55.841,6,assoc
55.931,12,send
55.956264000000004,12,recv
56.334,16,send
56.346264000000005,16,recv
57.655,3,send
57.666264000000005,3,recv
57.816019999999995,9,send
57.846264000000005,9,recv
58.311,4,send
58.326264,4,recv
60.302,12,send
60.336264,12,recv
61.453,16,send
61.476264,16,recv
61.761,3,send
61.776264000000005,3,recv
63.375,9,send
63.396264,9,recv
63.992,4,send
64.026264,4,recv
65.489,12,send
65.556264,12,recv
66.495,16,send
66.51626399999999,16,recv
66.787,2,send
66.84626399999999,2,recv
67.074,3,send
67.086264,3,recv
68.01502,9,send
68.046264,9,recv
69.211,4,send
69.936264,4,recv
70.401,12,send
70.416264,12,recv
71.232,2,send
71.334,16,send
71.34626399999999,16,recv
71.556264,2,recv
72.597,9,send
72.606264,9,recv
72.704,3,send
72.726264,3,recv
72.803,6,send
72.81626399999999,6,recv
74.74,4,send
74.76626399999999,4,recv
74.779,10,send
74.796264,10,recv
75.902,16,send
75.936264,16,recv
76.041,12,send
76.056264,12,recv
76.45,2,send
76.476264,2,recv
76.901,11,send
76.92626399999999,11,recv
77.07602,3,send
77.106264,3,recv
77.836,6,send
77.856264,6,recv
78.204,9,send
78.216264,9,recv
78.84,10,send
78.84626399999999,10,recv
80.029,4,send
80.046264,4,recv
80.279,16,send
80.28626399999999,16,recv
81.337,12,send
81.366264,12,recv
81.79,13,send
81.81626399999999,13,recv
81.956,2,send
81.966264,2,recv
82.082,11,send
82.097,3,send
82.326264,3,recv
82.356264,11,recv
82.64,6,send
82.656264,6,recv
83.17,9,send
83.196264,9,recv
83.297,10,send
83.31626399999999,10,recv
85.288,16,send
85.296264,16,recv
85.65602,4,send
85.686264,4,recv
86.3,2,send
86.31626399999999,2,recv
86.478,12,send
86.496264,12,recv
86.549,13,send
86.556264,13,recv
86.818,6,send
86.826264,6,recv
87.465,3,send
87.48626399999999,3,recv
87.728,10,send
87.756264,10,recv
87.878,11,send
87.906264,11,recv
88.13,9,send
88.146264,9,recv
90.405,16,send
90.42626399999999,16,recv
90.742,12,send
90.745,4,send
90.803,13,send
90.826,6,send
90.906264,13,recv
91.056264,12,recv
91.146264,6,recv
91.326264,4,recv
92.19,2,send
92.196264,2,recv
92.565,10,send
92.586264,10,recv
92.743,11,send
92.76626399999999,11,recv
93.431,3,send
93.445,9,send
93.48626399999999,3,recv
93.576264,9,recv
95.47,4,send
95.496264,4,recv
96.224,6,send
96.229,16,send
96.272,13,send
96.45626399999999,6,recv
96.476,2,send
96.48626399999999,2,recv
96.546264,16,recv
96.576264,13,recv
96.66502,12,send
96.696264,12,recv
97.121,15,assoc
97.121,5,assoc
97.121,8,assoc
97.358,10,send
97.386264,10,recv
98.475,11,send
98.496264,11,recv
98.702,9,send
98.73626399999999,9,recv
99.42602000000001,3,send
99.45626399999999,3,recv
99.57602,4,send
99.606264,4,recv
100.485,16,send
100.506264,16,recv
100.764,2,send
100.776264,2,recv
101.603,12,send
101.616264,12,recv
101.745,10,send
101.76626399999999,10,recv
101.798,6,send
101.826264,6,recv
101.923,13,send
101.946264,13,recv
102.988,11,send
102.996264,11,recv
103.598,4,send
103.62626399999999,4,recv
104.07602,3,send
104.106264,3,recv
104.424,9,send
104.436264,9,recv
105.051,2,send
105.06626399999999,2,recv
105.96602,16,send
105.996264,16,recv
106.227,13,send
106.23626399999999,13,recv
106.613,10,send
106.62626399999999,10,recv
106.976,12,send
106.98626399999999,12,recv
107.022,11,send
107.046264,11,recv
107.139,6,send
107.166264,6,recv
108.795,3,send
108.801,4,send
108.84626399999999,4,recv
109.369,9,send
109.386264,9,recv
109.389,2,send
109.686264,2,recv
109.95626399999999,3,recv
110.863,13,send
110.886264,13,recv
111.03602000000001,16,send
111.06626399999999,16,recv
111.211,11,send
111.216264,11,recv
111.321,10,send
111.336264,10,recv
112.229,6,send
112.23626399999999,6,recv
112.928,12,send
112.95626399999999,12,recv
113.938,3,send
113.946264,3,recv
114.163,4,send
114.186264,4,recv
114.194,5,send
114.216264,5,recv
114.437,9,send
114.45626399999999,9,recv
114.63,2,send
114.636264,2,recv
115.20502,13,send
115.23626399999999,13,recv
115.678,10,send
115.686264,10,recv
116.758,16,send
116.76626399999999,16,recv
116.896,11,send
116.916264,11,recv
117.008,15,send
117.03626399999999,15,recv
117.27602,6,send
117.306264,6,recv
117.554,8,send
117.576264,8,recv
117.817,12,send
117.84626399999999,12,recv
118.711,2,send
118.716264,2,recv
118.841,4,send
118.866264,4,recv
119.012,5,send
119.046264,5,recv
119.1,3,send
119.106264,3,recv
119.351,14,assoc
119.428,13,send
119.436264,13,recv
119.97602,9,send
120.006264,9,recv
121.374,11,send
121.386264,11,recv
121.573,10,send
121.59626399999999,10,recv
121.937,15,send
121.95626399999999,15,recv
121.989,12,send
122.01626399999999,12,recv
122.04602,16,send
122.076264,16,recv
122.76602,8,send
122.796264,8,recv
122.841,2,send
122.856264,2,recv
123.078,4,send
123.09626399999999,4,recv
123.106,6,send
123.12626399999999,6,recv
123.302,3,send
123.336264,3,recv
123.917,5,send
123.936264,5,recv
124.02502,9,send
124.056264,9,recv
125.25502,13,send
125.28626399999999,13,recv
125.91602,10,send
125.946264,10,recv
126.171,15,send
126.186264,15,recv
127.237,11,send
127.26626399999999,11,recv
127.371,8,send
127.386264,8,recv
127.508,16,send
127.53626399999999,16,recv
127.693,12,send
127.716264,12,recv
128.174,6,send
128.19626399999999,6,recv
128.63,4,send
128.646264,4,recv
128.79502,9,send
128.802,2,send
128.85626399999998,9,recv
128.91626399999998,2,recv
128.953,3,send
128.976264,3,recv
129.38,5,send
129.396264,5,recv
130.134,13,send
130.146264,13,recv
130.645,10,send
130.656264,10,recv
131.457,11,send
131.466264,11,recv
131.571,15,send
131.586264,15,recv
132.176,16,send
132.186264,16,recv
132.629,8,send
132.63626399999998,8,recv
132.704,4,send
132.726264,4,recv
133.014,3,send
133.026264,3,recv
133.39,12,send
