time_s,node,event
6.971,3,assoc
6.971,5,assoc
6.971,6,assoc
15.131,2,assoc
15.131,4,assoc
15.131,7,assoc
15.131,9,assoc
24.567,6,send
24.576264,6,recv
25.296020000000002,3,send
25.326264,3,recv
26.402,5,send
26.436263999999998,5,recv
30.052,6,send
30.066264,6,recv
30.503,3,send
30.516264,3,recv
31.787,5,send
31.806264,5,recv
33.701,12,assoc
33.701,13,assoc
34.603,2,send
34.626264000000006,2,recv
35.061,6,send
35.076264,6,recv
35.874,3,send
35.886264000000004,3,recv
36.91,5,send
36.936264,5,recv
38.802,9,send
38.826264,9,recv
39.446,6,send
39.456264000000004,6,recv
39.556,2,send
39.576264,2,recv
40.151,15,assoc
41.526019999999995,3,send
41.556264000000006,3,recv
41.662,7,send
41.676264,7,recv
42.215019999999996,4,send
42.246264000000004,4,recv
42.558,5,send
42.576264,5,recv
43.747,2,send
43.776264000000005,2,recv
43.934,9,send
43.956264000000004,9,recv
45.232,6,send
45.246264000000004,6,recv
46.103,7,send
46.116264,7,recv
46.826,4,send
46.836264,4,recv
46.961,3,send
46.986264000000006,3,recv
47.431,5,send
47.436264,5,recv
48.499,9,send
48.516264,9,recv
49.254,2,send
49.266264,2,recv
49.47,13,send
49.476264,13,recv
50.245,7,send
50.286264,7,recv
50.955,6,send
50.976264,6,recv
51.18602,12,send
51.216264,12,recv
51.265,4,send
51.276264000000005,4,recv
52.847,3,send
52.866264,3,recv
53.275,5,send
53.286264,5,recv
53.304,2,send
53.316264000000004,2,recv
53.775,13,send
53.796264,13,recv
53.901,9,send
53.916264000000005,9,recv
55.483,7,send
55.506264,7,recv
56.101,6,send
56.106264,6,recv
56.612,12,send
56.646264,12,recv
57.237,4,send
57.246264000000004,4,recv
57.33502,3,send
57.366264,3,recv
57.459,2,send
57.486264000000006,2,recv
57.578,5,send
57.606264,5,recv
59.311,13,send
59.316264000000004,13,recv
59.886019999999995,9,send
59.916264000000005,9,recv
60.405,6,send
60.426264,6,recv
60.95,7,send
60.966264,7,recv
61.327,4,send
61.356264,4,recv
61.613,12,send
61.626264000000006,12,recv
61.999,15,send
62.016264,15,recv
62.06,5,send
62.076264,5,recv
62.70502,3,send
62.736264000000006,3,recv
62.878,2,send
62.886264000000004,2,recv
64.688,9,send
64.71626400000001,9,recv
65.191,13,send
65.196264,13,recv
65.65,12,send
65.67626399999999,12,recv
65.846,6,send
65.856264,6,recv
66.03,15,send
66.03626399999999,15,recv
66.39602000000001,7,send
66.42626399999999,7,recv
66.88,4,send
66.906264,4,recv
67.045,2,send
67.056264,2,recv
67.932,5,send
67.95626399999999,5,recv
67.98602000000001,3,send
68.01626399999999,3,recv
69.99,9,send
69.996264,9,recv
70.159,15,send
70.17626399999999,15,recv
70.427,12,send
70.446264,12,recv
70.84,13,send
70.866264,13,recv
71.446,6,send
71.466264,6,recv
72.0,7,send
72.006264,7,recv
72.295,2,send
72.306264,2,recv
72.39602000000001,4,send
72.42626399999999,4,recv
72.52,3,send
72.546264,3,recv
73.031,8,assoc
73.63,5,send
73.656264,5,recv
75.375,9,send
75.396264,9,recv
75.823,15,send
75.84626399999999,15,recv
76.098,12,send
76.116264,12,recv
76.23,6,send
76.23626399999999,6,recv
76.788,13,send
76.806264,13,recv
77.052,7,send
77.076264,7,recv
77.719,2,send
77.73626399999999,2,recv
78.09502,4,send
78.12626399999999,4,recv
78.13,3,send
78.156264,3,recv
78.647,5,send
78.666264,5,recv
79.579,9,send
79.59626399999999,9,recv
81.202,15,send
81.216264,15,recv
81.678,6,send
81.69,12,send
81.726264,6,recv
81.756264,12,recv
82.224,7,send
82.23626399999999,7,recv
82.417,13,send
82.446264,13,recv
82.797,2,send
82.806264,2,recv
83.947,3,send
83.976264,3,recv
84.06502,4,send
84.09626399999999,4,recv
84.114,5,send
84.186264,5,recv
84.997,9,send
85.026264,9,recv
86.179,15,send
86.196264,15,recv
86.604,13,send
86.616264,13,recv
86.878,7,send
86.886264,7,recv
87.379,2,send
87.396264,2,recv
87.452,12,send
87.471,6,send
87.546264,6,recv
87.606264,12,recv
88.279,3,send
88.296264,3,recv
88.497,5,send
88.506264,5,recv
89.804,4,send
89.826264,4,recv
90.04,9,send
90.06626399999999,9,recv
91.516,12,send
91.53626399999999,12,recv
91.68502000000001,15,send
91.716264,15,recv
91.764,6,send
91.776264,6,recv
91.921,7,send
91.92626399999999,7,recv
92.21,13,send
92.226264,13,recv
92.98,3,send
93.006264,3,recv
93.044,2,send
93.06626399999999,2,recv
93.735,5,send
93.756264,5,recv
94.689,9,send
94.716264,9,recv
95.216,4,send
95.226264,4,recv
96.015,7,send
96.03626399999999,7,recv
96.399,12,send
96.416,15,send
96.48626399999999,15,recv
96.51626399999999,12,recv
97.16,6,send
97.17626399999999,6,recv
97.65602,13,send
97.686264,13,recv
98.25502,8,send
98.285624,3,send
98.28626399999999,8,recv
98.31626399999999,3,recv
98.462,2,send
98.496264,2,recv
98.787,9,send
98.796264,9,recv
99.442,5,send
99.45626399999999,5,recv
99.871,4,send
99.87626399999999,4,recv
100.031,10,assoc
100.031,11,assoc
100.031,16,assoc
100.3,7,send
100.326264,7,recv
100.978,15,send
100.98626399999999,15,recv
101.328,12,send
101.34626399999999,12,recv
102.667,13,send
102.696264,13,recv
103.125,6,send
103.146264,6,recv
103.225,9,send
103.23626399999999,9,recv
103.463,8,send
103.476264,8,recv
103.737,3,send
103.746264,3,recv
103.928,5,send
103.95626399999999,5,recv
104.01602,2,send
104.046264,2,recv
104.787,7,send
104.796264,7,recv
105.868,4,send
105.87626399999999,4,recv
106.245,15,send
106.26626399999999,15,recv
107.063,12,send
107.076264,12,recv
107.206,13,send
107.226264,13,recv
107.82602,6,send
107.856264,6,recv
108.078,2,send
108.09626399999999,2,recv
108.632,3,send
108.666264,3,recv
108.742,8,send
108.756264,8,recv
109.151,9,send
109.17626399999999,9,recv
109.899,5,send
109.918,4,send
110.04,7,send
110.106264,5,recv
110.136264,7,recv
110.166264,4,recv
110.815,15,send
110.826264,15,recv
112.331,12,send
112.356264,12,recv
112.487,2,send
112.506264,2,recv
113.18,3,send
113.184,13,send
113.226264,13,recv
113.31626399999999,3,recv
113.574,6,send
113.586264,6,recv
113.82,9,send
113.826264,9,recv
114.468,5,send
114.471,7,send
114.556,8,send
114.576264,8,recv
114.696264,5,recv
114.726264,7,recv
114.752,4,send
114.78626399999999,4,recv
115.813,15,send
115.836264,15,recv
116.58602,2,send
116.616264,2,recv
116.803,12,send
116.826264,12,recv
117.72502,6,send
117.756264,6,recv
118.093,9,send
118.116264,9,recv
118.4,3,send
118.416264,3,recv
119.009,5,send
119.01626399999999,5,recv
119.022,13,send
119.046264,13,recv
119.992,7,send
120.006264,7,recv
120.027,8,send
120.03626399999999,8,recv
120.092,4,send
120.12626399999999,4,recv
120.477,15,send
120.48626399999999,15,recv
121.311,2,send
121.326264,2,recv
121.481,10,send
121.506264,10,recv
122.064,11,send
122.076264,11,recv
122.5,12,send
122.526264,12,recv
122.985,9,send
123.006264,9,recv
123.071,5,send
123.09626399999999,5,recv
123.505,3,send
123.51626399999999,3,recv
123.54502000000001,6,send
123.576264,6,recv
124.484,7,send
124.506264,7,recv
124.599,16,send
124.62626399999999,16,recv
124.82,13,send
124.836264,13,recv
124.873,4,send
124.896264,4,recv
125.91602,15,send
125.946264,15,recv
125.971,8,send
125.976264,8,recv
126.681,11,send
126.696264,11,recv
126.84602000000001,2,send
126.87626399999999,2,recv
127.219,10,send
127.23626399999999,10,recv
127.493,12,send
127.506264,12,recv
127.781,3,send
127.806264,3,recv
127.939,9,send
127.95626399999999,9,recv
128.566,7,send
128.586264,7,recv
128.667,5,send
128.676264,5,recv
129.03,4,send
129.036264,4,recv
129.101,6,send
129.126264,6,recv
129.233,13,send
129.246264,13,recv
130.23602,16,send
130.266264,16,recv
130.34,8,send
130.35626399999998,8,recv
131.07602,11,send
131.10626399999998,11,recv
131.75,15,send
131.766264,15,recv
132.03601999999998,2,send
132.066264,2,recv
132.21602,10,send
132.246264,10,recv
132.808,3,send
132.816264,3,recv
132.898,12,send
132.966264,12,recv
133.598,7,send
133.626264,7,recv
133.862,9,send
133.896264,9,recv
134.071,6,send
134.076264,6,recv
134.43601999999998,5,send
134.466264,5,recv
134.668,4,send
134.676264,4,recv
135.195,13,send
135.216264,13,recv
135.22,11,send
135.246264,11,recv
135.84,16,send
135.846264,16,recv
