time_s,node,event
88.648553816,client-11,recv
89.30796481600001,client-7,send
89.33846897400001,client-7,recv
89.607553826,client-1,send
89.637800238,client-1,recv
89.637813161,client-6,send
89.668526331,client-6,recv
90.178165442,client-12,send
90.208635857,client-12,recv
90.29737647,client-8,send
90.327793951,client-8,recv
90.59773946199999,client-5,send
90.62805319,client-5,recv
90.838080102,client-10,send
90.98860013999999,client-10,recv
91.078221752,client-4,send
91.108642001,client-4,recv
91.858409404,client-3,send
91.948386292,client-3,recv
91.978201098,client-15,send
92.008454477,client-15,recv
92.758129621,client-11,send
92.788650033,client-11,recv
93.238256339,client-9,send
93.388716679,client-9,recv
94.467247217,client-1,send
94.49742472199999,client-1,recv
94.67817846599999,client-7,send
94.708374394,client-7,recv
94.82794616999999,client-6,send
94.85845291300001,client-6,recv
95.188018348,client-10,send
95.217239101,client-8,send
95.218443902,client-10,recv
95.248233773,client-12,send
95.278682055,client-12,recv
95.728945796,client-4,send
95.758207383,client-4,recv
95.96762522099999,client-5,send
95.99779625100001,client-5,recv
96.35843328899999,client-3,send
96.388756495,client-3,recv
97.348180367,client-15,send
97.378572877,client-15,recv
97.52819482999999,client-11,send
97.558698013,client-11,recv
98.668033932,client-13,send
98.69836630900001,client-13,recv
98.758116485,client-9,send
98.788448945,client-9,recv
99.328157857,client-12,send
99.35852511899999,client-12,recv
99.68828093900001,client-10,send
99.71834195699999,client-10,recv
99.98662684899999,client-1,send
100.437935032,client-6,send
100.468396091,client-6,recv
100.588174994,client-7,send
100.618480098,client-7,recv
100.82858277700001,client-4,send
100.858720368,client-4,recv
101.126840031,client-8,send
101.428319053,client-3,send
101.45861186200001,client-3,recv
101.487416756,client-5,send
101.517778026,client-5,recv
102.02835863,client-15,send
102.05863385399999,client-15,recv
102.38835541499999,client-11,send
102.418443602,client-11,recv
102.83797496199999,client-9,send
102.988493642,client-9,recv
104.277850018,client-13,send
104.308004181,client-13,recv
104.90842936,client-4,send
104.93862614,client-4,recv
105.177944531,client-12,send
105.208846299,client-12,recv
105.208860208,client-10,send
105.358462389,client-10,recv
105.507883426,client-3,send
105.53817004700001,client-3,recv
105.77661858799999,client-1,send
105.898032005,client-6,send
105.92834988199999,client-6,recv
106.198537749,client-15,send
106.22870230800001,client-15,recv
106.377965505,client-7,send
106.408341647,client-7,recv
106.587284844,client-5,send
106.617641226,client-5,recv
106.888471037,client-11,send
107.27885072000001,client-11,recv
107.607932416,client-9,send
107.63818575,client-9,recv
108.897863966,client-13,send
108.928387137,client-13,recv
109.377949746,client-12,send
109.40828351100001,client-12,recv
109.67853149,client-4,send
109.70869151400001,client-4,recv
110.277680324,client-3,send
110.277693586,client-10,send
110.30802012400001,client-3,recv
110.368644425,client-10,recv
110.667265852,client-5,send
110.697416242,client-5,recv
110.908025522,client-6,send
110.93836946,client-6,recv
111.268524692,client-15,send
111.298762594,client-15,recv
111.388378222,client-7,send
111.418798958,client-7,recv
111.80768137000001,client-9,send
111.838136606,client-9,recv
112.408514779,client-11,send
112.438754165,client-11,recv
113.638279689,client-12,send
113.758642558,client-12,recv
113.87856741899999,client-4,send
113.908691969,client-4,recv
113.908705577,client-13,send
113.938504292,client-13,recv
115.31827548300001,client-10,send
115.348468647,client-10,recv
115.437952995,client-5,send
115.468111412,client-5,recv
115.67817866200001,client-6,send
115.708249904,client-6,recv
115.917750611,client-3,send
115.977998284,client-3,recv
116.18788630899999,client-9,send
116.218005867,client-9,recv
117.028520055,client-15,send
117.058774269,client-15,recv
117.23848065300001,client-7,send
117.26843197000001,client-7,recv
117.448474958,client-11,send
117.50884594,client-11,recv
118.138177162,client-4,send
118.168683219,client-4,recv
118.258254564,client-12,send
118.25826810699999,client-13,send
118.288618841,client-13,recv
118.318492473,client-12,recv
120.387942678,client-9,send
120.417818287,client-9,recv
120.508318988,client-10,send
120.53859938299999,client-10,recv
121.048592692,client-5,send
121.07877171099999,client-5,recv
121.527509435,client-3,send
121.55769888900001,client-3,recv
121.588367707,client-6,send
121.618594766,client-6,recv
122.39846573,client-15,send
122.428828131,client-15,recv
122.42884164899999,client-7,send
122.458601618,client-7,recv
122.578245439,client-4,send
122.608519857,client-4,recv
123.028338737,client-12,send
123.058610499,client-12,recv
123.088386948,client-11,send
123.118915594,client-11,recv
124.168445666,client-13,send
124.198887478,client-13,recv
124.82818726,client-9,send
124.858480375,client-9,recv
125.30913205499999,client-5,send
125.339276521,client-5,recv
125.967651992,client-3,send
125.99783550699999,client-3,recv
126.058450061,client-6,send
126.08861932699999,client-6,recv
126.11822475,client-10,send
126.14856091200001,client-10,recv
127.048589492,client-7,send
127.13894991900001,client-7,recv
127.258468669,client-11,send
127.288591454,client-11,recv
127.498257017,client-12,send
127.528761289,client-12,recv
127.58800423400001,client-4,send
